WALL,0,0,800,20
WALL,0,780,800,20
WALL,0,0,20,800
WALL,780,0,20,800
WALL,20,720,180,20
WALL,320,720,180,20
WALL,620,720,160,20
WALL,140,620,180,20
WALL,440,620,160,20
WALL,700,620,80,20
WALL,20,520,160,20
WALL,280,520,180,20
WALL,560,520,220,20
WALL,100,420,140,20
WALL,360,420,160,20
WALL,640,420,140,20
WALL,20,320,180,20
WALL,300,320,140,20
WALL,560,320,220,20
WALL,140,220,160,20
WALL,420,220,180,20
WALL,700,220,80,20
WALL,20,120,660,20
DOOR,30,50,50,70
WALL,660,660,40,40
WALL,80,460,40,40
WALL,480,360,40,40
WALL,240,260,40,40
WALL,620,160,40,40
